x_N2_train,y_N2_train,x_N2_valid,y_N2_valid,x_H2_2.5,y_H2_2.5,x_H2_10,y_H2_10
5.093551440154938e-07,372805.72064727684,4.0852656991807076e-07,899606.5808999026,1.8439102354701916e-06,73015.00548509587,1.2972022561173045e-06,44161.17614027194
5.121916431624787e-07,307070.5738373203,4.1010121205327017e-07,736407.714002043,1.860821059734887e-06,61426.2266510881,1.3080414001668323e-06,35933.96614918852
5.150281423094637e-07,246666.69552471302,4.116758541884696e-07,587004.909109436,1.8777318839995827e-06,50358.71629688691,1.31888054421636e-06,28589.121043054096
5.178646414564486e-07,193010.69203919242,4.13250496323669e-07,455361.3123966651,1.8946427082642785e-06,40200.5617909517,1.3297196882658883e-06,22224.67553418869
5.207011406034335e-07,146957.2588619052,4.148251384588684e-07,343588.46482540015,1.9115535325289742e-06,31227.046028960205,1.340558832315416e-06,16871.276077963877
5.235376397504185e-07,108776.15383153805,4.1639978059406787e-07,252059.9748814823,1.92846435679367e-06,23589.7069140182,1.3513979763649439e-06,12500.023039793537
5.263741388974035e-07,78208.88079764089,4.179744227292673e-07,179721.86199778784,1.9453751810583658e-06,17322.6851029619,1.3622371204144717e-06,9035.6158016345
5.292106380443884e-07,54584.13895035023,4.1954906486446675e-07,124512.99067745544,1.9622860053230615e-06,12362.776736322063,1.3730762644639995e-06,6372.149083504977
5.320471371913735e-07,36964.06470505509,4.2112370699966617e-07,83808.23477707803,1.9791968295877573e-06,8577.857483784639,1.3839154085135277e-06,4389.2800746119465
5.348836363383584e-07,24293.539131057914,4.226983491348656e-07,54814.414679867215,1.996107653852453e-06,5798.149641614931,1.3947545525630555e-06,2967.2279645055532
5.377201354853434e-07,15531.260528369341,4.24272991270065e-07,34876.32840138674,2.013018478117149e-06,3845.9482269636937,1.4055936966125833e-06,2000.0250798017369
5.405566346323283e-07,9751.40504762507,4.258476334052644e-07,21678.74172671791,2.029929302381844e-06,2561.396625674446,1.416432840662111e-06,1407.4614061939064
5.433931337793132e-07,6215.670293802861,4.274222755404638e-07,13353.54140459001,2.04684012664654e-06,1824.10945618595,1.4272719847116393e-06,1147.1186888146913
5.462296329262982e-07,4425.000139358919,4.2899691767566323e-07,8516.146628338844,2.0637509509112357e-06,1572.3583283813205,1.438111128761167e-06,1228.6568334187032
5.490661320732832e-07,4166.960292406846,4.305715598108627e-07,6261.490348533727,2.0806617751759315e-06,1822.8016185077722,1.4489502728106949e-06,1732.9687001712737
